,id,eid,formula,R1,R2,R3,F1,F2,F3,P0,P1,YM,YM_err,YS,YS_err,UTS,UTS_err,DAR,DAR_err,HV,HV_err,moe,moe_class,ph1,ph2,ph3,condition,comments,composition
183,184,Ti-35Nb-7Zr-5Ta-1Si-1Fe,Ti0.6659Fe0.0112Zr0.048Nb0.2354Ta0.0173Si0.0223,71,10.1016/j.msec.2015.11.043,kopova2016,0,0,0,,30.00,79.00,,613.00,38.00,652.00,45.00,7.00,2.00,,,13.80,meta,Ti-beta,"(Zr,X)Si",,ST-WQ,ST at 1000 deg C for 2 h followed by WQ. Grain size higher roughly estimated from Fig. 1. Elastic modulus from Figure 3. Mechanical strengths from Figure 4. Elongation from Figure 5.,Ti0.6659 Fe0.0112 Zr0.048 Nb0.2354 Ta0.0173 Si0.0223
184,185,Ti-35Nb,Ti0.7828Nb0.2172,72,10.1016/j.jmbbm.2015.06.035,tavares2015,0,1,0,,200.00,72.00,2.00,382.00,13.00,560.00,25.00,36.00,6.00,172.00,1.00,9.80,near,Ti-beta,Ti-alpha-dp,Ti-omega,ST-WQ,ST at 1000 deg C for 1 h and then water quenched. Elastic modulus via ultrasonic methods. Average grain size roughly approx. from Figure 7. Ti-omega assumed to be present in all samples from this study (Figure 8). Microhardness measurements from Fig. 9.,Ti0.7828 Nb0.2172
185,186,Ti-35Nb-0.15Si,Ti0.78Nb0.2169Si0.0031,72,10.1016/j.jmbbm.2015.06.035,tavares2015,0,0,0,,180.00,66.00,2.00,389.00,17.00,573.00,26.00,32.00,4.00,190.00,3.00,9.80,near,Ti-beta,Ti-alpha-dp,Ti-omega,ST-WQ,ST at 1000 deg C for 1 h and then water quenched. Elastic modulus via ultrasonic methods. Average grain size roughly approx. from Figure 7. Ti-omega assumed to be present in all samples from this study (Figure 8). Microhardness measurements from Fig. 9.,Ti0.78 Nb0.2169 Si0.0031
186,187,Ti-35Nb-0.35Si,Ti0.7763Nb0.2165Si0.0072,72,10.1016/j.jmbbm.2015.06.035,tavares2015,0,0,0,,120.00,65.00,2.00,405.00,21.00,585.00,18.00,29.00,4.00,202.00,4.00,9.80,near,Ti-beta,Ti-alpha-dp,Ti-omega,ST-WQ,ST at 1000 deg C for 1 h and then water quenched. Elastic modulus via ultrasonic methods. Average grain size roughly approx. from Figure 7. Ti-omega assumed to be present in all samples from this study (Figure 8). Microhardness measurements from Fig. 9.,Ti0.7763 Nb0.2165 Si0.0072
187,188,Ti-35Nb-0.55Si,Ti0.7726Nb0.2162Si0.0112,72,10.1016/j.jmbbm.2015.06.035,tavares2015,0,1,0,,80.00,65.00,2.00,540.00,73.00,658.00,77.00,2.00,1.00,223.00,3.00,9.80,near,Ti-beta,Ti-alpha-dp,Ti-omega,ST-WQ,ST at 1000 deg C for 1 h and then water quenched. Elastic modulus via ultrasonic methods. Average grain size roughly approx. from Figure 7. Ti-omega assumed to be present in all samples from this study (Figure 8). Microhardness measurements from Fig. 9.,Ti0.7726 Nb0.2162 Si0.0112
188,189,Ti-8Cr,Ti0.9259Cr0.0741,73,10.1007/BF01106518,hanada1986,0,1,0,,120.00,,,662.00,,769.00,,33.00,,,,12.80,meta,Ti-beta,Ti-omega,,ST-WQ,ST at 1100K and quenched into ice water + 10% deformation at 300K. Average grain size roughly estimated from Fig. 1. Elastic modulus not reported.,Ti0.9259 Cr0.0741
189,190,Ti-10Cr,Ti0.9072Cr0.0928,73,10.1007/BF01106518,hanada1986,0,1,0,,100.00,,,446.00,,872.00,,39.00,,,,16.00,meta,Ti-beta,Ti-omega,,ST-WQ,ST at 1100K and quenched into ice water + 10% deformation at 300K. Average grain size roughly estimated from Fig. 1. Elastic modulus not reported.,Ti0.9072 Cr0.0928
190,191,Ti-11.5Cr,Ti0.8932Cr0.1068,73,10.1007/BF01106518,hanada1986,0,1,0,,85.00,,,791.00,,858.00,,14.00,,,,18.39,meta,Ti-beta,Ti-omega,,ST-WQ,ST at 1100K and quenched into ice water + 10% deformation at 300K. Average grain size roughly estimated from Fig. 1. Elastic modulus not reported.,Ti0.8932 Cr0.1068
191,192,Ti-13Cr,Ti0.8791Cr0.1209,73,10.1007/BF01106518,hanada1986,0,1,0,,85.00,,,794.00,,830.00,,19.00,,,,20.80,meta,Ti-beta,Ti-omega,,ST-WQ,ST at 1100K and quenched into ice water + 10% deformation at 300K. Average grain size assumed to be equal Ti-13Cr.,Ti0.8791 Cr0.1209
192,193,Ti-15Cr,Ti0.8602Cr0.1398,73,10.1007/BF01106518,hanada1986,0,1,0,,85.00,,,775.00,,814.00,,15.00,,,,24.01,meta,Ti-beta,,,ST-WQ,ST at 1100K and quenched into ice water + 10% deformation at 300K. Average grain size assumed to be equal Ti-13Cr.,Ti0.8602 Cr0.1398
193,194,Ti-20Cr,Ti0.8129Cr0.1871,73,10.1007/BF01106518,hanada1986,0,1,0,,85.00,,,808.00,,822.00,,8.00,,,,32.00,stable,Ti-beta,,,ST-WQ,ST at 1100K and quenched into ice water + 10% deformation at 300K. Average grain size assumed to be equal Ti-13Cr.,Ti0.8129 Cr0.1871
194,195,Ti-12Mo,Ti0.9363Mo0.0637,74,10.1016/j.msea.2010.03.044,sun2010,0,1,0,,40.00,90.00,,550.00,,660.00,,45.00,,,,12.00,meta,Ti-beta,Ti-omega,,ST-WQ,ST at 1143 K for 30 min then quenched into water. Average grain size around 40 um (Figure 1b).  ,Ti0.9363 Mo0.0637
195,196,Ti-30Nb-10Ta-5Zr-0.28O,Ti0.7274Zr0.0346Nb0.2027Ta0.0353,75,10.1016/j.actamat.2010.02.010,obbard2010,1,1,1,2800.00,,57.10,,400.00,,777.00,,,,,,10.57,meta,Ti-beta,Ti-alpha-dp,,ST-AC,"Powder metallurgy, sintering and hot-swaging. Stress-relieving anneal at 850 deg C (assumed to be followed by AC, given the remaining text). YS equals Y02%. Young modulus averaged over the main elastic costants E100, E110, E111 from Table 5.",Ti0.7274 Zr0.0346 Nb0.2027 Ta0.0353
196,197,Ti-30Nb-08Ta-5Zr-0.35O,Ti0.7413Zr0.0323Nb0.1986Ta0.0278,75,10.1016/j.actamat.2010.02.010,obbard2010,1,1,1,3500.00,,53.70,,435.00,,612.00,,,,,,10.13,meta,Ti-beta,Ti-alpha-dp,,ST-AC,"Powder metallurgy, sintering and hot-swaging. Stress-relieving anneal at 850 deg C (assumed to be followed by AC, given the remaining text). YS equals Y02%. Young modulus averaged over the main elastic costants E100, E110, E111 from Table 5.",Ti0.7413 Zr0.0323 Nb0.1986 Ta0.0278
197,198,at_Ti-5Mo-3Sn-1Fe-0.4O,Ti91.10Mo4.60Sn3.30Fe1.00,76,10.1016/j.jallcom.2020.155391,xu2020b,1,1,1,1222.00,59.00,52.00,,740.00,,1013.00,,15.00,,,,11.49,meta,Ti-beta,,,ST-WQ,Annealed at 900 deg C for 10 min then WQ. Mean grain size reported in Section 3. Numbers of samples/specimens not reported.,Ti91.1 Mo4.6 Sn3.3 Fe1
198,199,at_Ti-Nb-Ta-Zr-Mo,Ti19.00Nb19.00Ta21.00Zr21.00Mo20.00,77,10.1016/j.msec.2016.12.057,wang2017b,0,0,0,,,153.00,7.00,1390.00,75.00,,,8.00,2.00,,,31.52,stable,Ti-beta,Ti-beta2,,As-cast,Fabrication in a water-cooled copper hearth. Young modulus obtained via nanohardness (composition of E1 = 161 GPa and E2 = 133 GPa). Error in E assumed to be the highest among errors of individual phases. Strain is an average from Fig. 5,Ti19 Nb19 Ta21 Zr21 Mo20
199,200,at_Ti-8Mo-6Nb-4Zr,Ti82.13Mo7.98Nb5.93Zr3.96,78,10.1016/j.jmbbm.2015.12.023,nnamchi2016,1,0,0,128.00,10.00,72.00,,899.00,,,,12.30,,,,16.40,meta,Ti-alpha-dp,Ti-beta,,ST-WQ,Oxygen reported in Table 1. Average grain size reported in the text. Alloy with divergent behavior ignored. ,Ti82.13 Mo7.98 Nb5.93 Zr3.96
200,201,at_Ti-8Mo-5Nb-3Zr,Ti84.11Mo7.98Nb4.94Zr2.97,78,10.1016/j.jmbbm.2015.12.023,nnamchi2016,1,0,0,128.00,10.00,69.00,,947.00,,,,13.90,,,,16.19,meta,Ti-alpha-dp,Ti-beta,,ST-WQ,Oxygen reported in Table 1. Average grain size reported in the text. Alloy with divergent behavior ignored. ,Ti84.11 Mo7.98 Nb4.94 Zr2.97
201,202,at_Ti-8Mo-5Zr-3Nb,Ti84.04Mo7.98Nb2.96Zr5.02,78,10.1016/j.jmbbm.2015.12.023,nnamchi2016,1,0,0,128.00,10.00,52.00,,483.00,,,,10.70,,,,15.26,meta,Ti-alpha-dp,Ti-beta,,ST-WQ,Oxygen reported in Table 1. Average grain size reported in the text. Alloy with divergent behavior ignored. ,Ti84.04 Mo7.98 Nb2.96 Zr5.02
202,203,at_Ti-22Nb,Ti78.00Nb22.00,79,10.1016/j.msea.2012.09.012,zhang2013,0,0,1,,40.00,73.00,3.00,405.00,,694.00,,37.00,,181.00,5.00,9.91,near,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 800 deg C for 30 min followed by quenching into water at RT. Grain size roughly estimated from Fig. 3. UTS extracted from Fig. 5. Mechanical properties extracted from Fig. 6. Elastic modulus from Fig. 7. TSIM = 273 MPa,Ti78 Nb22
203,204,at_Ti-22Nb-1Mo,Ti77.00Nb22.00Mo1.00,79,10.1016/j.msea.2012.09.012,zhang2013,0,0,1,,20.00,87.00,2.00,452.00,,763.00,,35.00,,190.00,7.00,11.47,meta,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 800 deg C for 30 min followed by quenching into water at RT. Grain size roughly estimated from Fig. 3. UTS extracted from Fig. 5. Mechanical properties extracted from Fig. 6. Elastic modulus from Fig. 7. TSIM = 295 MPa,Ti77 Nb22 Mo1
204,205,at_Ti-22Nb-1Zr,Ti77.00Nb22.00Zr1.00,79,10.1016/j.msea.2012.09.012,zhang2013,0,0,1,,20.00,68.00,4.00,370.00,,629.00,,35.00,,184.00,2.00,9.83,near,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 800 deg C for 30 min followed by quenching into water at RT. Grain size roughly estimated from Fig. 3. UTS extracted from Fig. 5. Mechanical properties extracted from Fig. 6. Elastic modulus from Fig. 7. TSIM = 259 MPa,Ti77 Nb22 Zr1
205,206,at_Ti-22Nb-1Ta,Ti77.00Nb22.00Ta1.00,79,10.1016/j.msea.2012.09.012,zhang2013,0,0,1,,30.00,72.00,4.00,401.00,,617.00,,28.00,,189.00,4.00,10.36,meta,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 800 deg C for 30 min followed by quenching into water at RT. Grain size roughly estimated from Fig. 3. UTS extracted from Fig. 5. Mechanical properties extracted from Fig. 6. Elastic modulus from Fig. 7. TSIM = 286 MPa,Ti77 Nb22 Ta1
206,207,at_Ti-22Nb-1Sn,Ti77.00Nb22.00Sn1.00,79,10.1016/j.msea.2012.09.012,zhang2013,0,0,1,,50.00,65.00,3.00,503.00,,633.00,,27.00,,203.00,4.00,9.79,near,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 800 deg C for 30 min followed by quenching into water at RT. Grain size roughly estimated from Fig. 3. UTS extracted from Fig. 5. Mechanical properties extracted from Fig. 6. Elastic modulus from Fig. 7. TSIM = 328 MPa,Ti77 Nb22 Sn1
207,208,at_Ti-22Nb-1Si,Ti77.00Nb22.00Si1.00,79,10.1016/j.msea.2012.09.012,zhang2013,0,0,1,,50.00,69.00,2.00,540.00,,634.00,,21.00,,204.00,5.00,9.94,near,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 800 deg C for 30 min followed by quenching into water at RT. Grain size roughly estimated from Fig. 3. UTS extracted from Fig. 5. Mechanical properties extracted from Fig. 6. Elastic modulus from Fig. 7. TSIM = 345 MPa,Ti77 Nb22 Si1
208,209,at_Ti-22Nb-1Fe,Ti77.00Nb22.00Fe1.00,79,10.1016/j.msea.2012.09.012,zhang2013,0,0,1,,40.00,79.00,2.00,600.00,,820.00,,24.00,,250.00,5.00,12.69,meta,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 800 deg C for 30 min followed by quenching into water at RT. Grain size roughly estimated from Fig. 3. UTS extracted from Fig. 5. Mechanical properties extracted from Fig. 6. Elastic modulus from Fig. 7. TSIM = 346 MPa,Ti77 Nb22 Fe1
209,210,at_Ti-24Nb,Ti76.00Nb24.00,80,10.1016/j.jmbbm.2012.01.017,ramarolahy2012,0,1,1,,100.00,60.00,,300.00,,445.00,,33.00,,,,10.64,meta,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 1123K for 1800s. Grain size roughly estimated from Fig. 1. ,Ti76 Nb24
210,211,at_Ti-26Nb,Ti74.00Nb26.00,80,10.1016/j.jmbbm.2012.01.017,ramarolahy2012,0,1,1,,100.00,50.00,,290.00,,420.00,,22.00,,,,11.35,meta,Ti-beta,,,ST-WQ,ST at 1123K for 1800s. Grain size roughly estimated from Fig. 1. ,Ti74 Nb26
211,212,at_Ti-24Nb-0.5O,Ti76.00Nb24.00,80,10.1016/j.jmbbm.2012.01.017,ramarolahy2012,0,1,1,1367.00,30.00,54.00,,665.00,,810.00,,22.00,,,,10.64,meta,Ti-beta,,,ST-WQ,ST at 1123K for 1800s. Grain size roughly estimated from Fig. 1. ,Ti76 Nb24
212,213,at_Ti-24Nb,Ti76.00Nb24.00,81,10.1016/j.msea.2011.12.103,li2012,0,0,1,,30.00,56.00,,202.00,,409.00,,27.00,,,,10.64,meta,Ti-beta,Ti-alpha-dp,,ST-WQ,"ST at 1073K for 3600s followed by quenching into water. Average grain size approx. 30 um (Fig. 1). YS, UTS and elongation obtained from Fig. 11. SIMT (and possibly superelasticity) occurs in this alloy. ",Ti76 Nb24
213,214,at_Ti-24Nb-2Zr,Ti74.00Nb24.00Zr2.00,81,10.1016/j.msea.2011.12.103,li2012,0,0,1,,30.00,59.00,,249.00,,487.00,,23.00,,,,10.49,meta,Ti-beta,,,ST-WQ,"ST at 1073K for 3600s followed by quenching into water. Average grain size approx. 30 um (Fig. 1). YS, UTS and elongation obtained from Fig. 11. SIMT (and possibly superelasticity) occurs in this alloy. ",Ti74 Nb24 Zr2
214,215,at_Ti-24Nb-4Zr,Ti72.00Nb24.00Zr4.00,81,10.1016/j.msea.2011.12.103,li2012,0,0,1,,30.00,60.00,,417.00,,542.00,,22.00,,,,10.33,meta,Ti-beta,,,ST-WQ,"ST at 1073K for 3600s followed by quenching into water. Average grain size approx. 30 um (Fig. 1). YS, UTS and elongation obtained from Fig. 11. SIMT (and possibly superelasticity) occurs in this alloy. ",Ti72 Nb24 Zr4
215,216,at_Ti-23Nb-2Zr-0.7Ta,Ti74.30Nb23.00Zr2.00Ta0.70,82,10.1016/j.actamat.2011.06.006,besse2011,1,0,1,,50.00,55.00,,280.00,,400.00,,33.00,,,,10.43,meta,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 850 deg C for 0.5 h in the beta-phase field and quenched in water. Average grain size roughly estimated from Fig. 1.,Ti74.3 Nb23 Zr2 Ta0.7
216,217,at_Ti-23Nb-2Zr-0.7Ta-1.2O,Ti74.30Nb23.00Zr2.00Ta0.70,82,10.1016/j.actamat.2011.06.006,besse2011,1,0,1,3219.00,30.00,60.00,,830.00,,880.00,,14.00,,,,10.43,meta,Ti-beta,,,ST-WQ,ST at 850 deg C for 0.5 h in the beta-phase field and quenched in water. Average grain size roughly estimated from Fig. 1.,Ti74.3 Nb23 Zr2 Ta0.7
217,218,at_Ti-12Ta-9Nb-6Zr-3V,Ti70.00Ta12.00Nb9.00Zr6.00V3.00,83,10.1126/science.1081957,saito2003,1,1,1,3500.00,,71.20,,849.00,,,,19.10,,,,11.54,meta,Ti-beta,,,ST-WQ,Data extracted from Figure 1a,Ti70 Ta12 Nb9 Zr6 V3
218,219,Ti-2Mo-2Al-2Fe,Ti89.17Mo4.81Al4.27Fe1.75,84,10.1016/j.msea.2015.08.028,li2015,1,1,0,540.00,75.00,,,670.00,,,,,,300.00,,12.74,meta,Ti-beta,Ti-omega,,ST-WQ,"ST at 850 deg C for 1 h. Grain size from the text (ref. Fig. 2). Cylindrical tensile specimens 6 x 30 mm, 5.10E-4 (s-1) strain rate. Stress-strain curves not reported, thus, it is impossible to infer Young or UTS.",Ti89.17 Mo4.81 Al4.27 Fe1.75
219,220,Ti-6Cr-3Sn,Ti93.11Cr5.65Sn1.24,85,10.2320/matertrans.M2011153,wadood2011,0,0,1,,300.00,,,294.00,,585.00,,41.00,,260.00,4.00,9.60,near,Ti-beta,,,ST-WQ,Elastic modulus not reported. Deformation from Fig. 3. Grain size not reported (Fig. 2 shows grains > 200 um). YS and UTS extracted from Fig. 4. Hardness from Fig. 9.,Ti93.11 Cr5.65 Sn1.24
220,221,Ti-7Cr-3Sn,Ti92.16Cr6.60Sn1.24,85,10.2320/matertrans.M2011153,wadood2011,0,0,1,,300.00,,,390.00,,639.00,,16.00,,270.00,3.00,11.20,meta,Ti-beta,,,ST-WQ,Elastic modulus not reported. Deformation from Fig. 3. Grain size not reported (Fig. 2 shows grains > 200 um). YS and UTS extracted from Fig. 4. Hardness from Fig. 9.,Ti92.16 Cr6.6 Sn1.24
221,222,Ti-8Cr-3Sn,Ti91.21Cr7.55Sn1.24,85,10.2320/matertrans.M2011153,wadood2011,0,0,1,,300.00,,,439.00,,620.00,,11.00,,272.00,5.00,12.80,meta,Ti-beta,,,ST-WQ,Elastic modulus not reported. Deformation from Fig. 3. Grain size not reported (Fig. 2 shows grains > 200 um). YS and UTS extracted from Fig. 4. Hardness from Fig. 9.,Ti91.21 Cr7.55 Sn1.24
222,223,Ti-9Cr-3Sn,Ti90.26Cr8.50Sn1.24,85,10.2320/matertrans.M2011153,wadood2011,0,0,1,,300.00,,,420.00,,622.00,,13.00,,275.00,9.00,14.40,meta,Ti-beta,,,ST-WQ,Elastic modulus not reported. Deformation from Fig. 3. Grain size not reported (Fig. 2 shows grains > 200 um). YS and UTS extracted from Fig. 4. Hardness from Fig. 9.,Ti90.26 Cr8.5 Sn1.24
223,224,Ti-7Mo-3Cr,Ti93.50Mo3.63Cr2.87,86,10.1016/j.scriptamat.2018.10.043,gao2018,0,1,0,,,,,563.00,,887.00,,46.00,,,,11.80,meta,Ti-beta,Ti-omega,,ST-WQ,Mechanical properties roughly estimated from Fig. 3,Ti93.5 Mo3.63 Cr2.87
224,225,Ti-7Mo-3Cr,Ti93.50Mo3.63Cr2.87,86,10.1016/j.scriptamat.2018.10.043,gao2018,0,1,0,,,,,961.00,,961.00,,0.00,,,,11.80,meta,Ti-beta,Ti-omega,,ST-AC,Mechanical properties roughly estimated from Fig. 3,Ti93.5 Mo3.63 Cr2.87
225,226,Ti-7Mo-3Cr-1Fe,Ti92.68Mo3.60Cr2.84Fe0.88,86,10.1016/j.scriptamat.2018.10.043,gao2018,0,1,0,,50.00,,,648.00,,924.00,,25.00,,,,14.55,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size roughly estimated from Fig. S1.,Ti92.68 Mo3.6 Cr2.84 Fe0.88
226,227,Ti-7Mo-3Cr-1Fe,Ti92.68Mo3.60Cr2.84Fe0.88,86,10.1016/j.scriptamat.2018.10.043,gao2018,0,1,0,,50.00,,,1210.00,,1245.00,,15.00,,,,14.55,meta,Ti-beta,Ti-omega,,ST-AC,Average grain size roughly estimated from Fig. S1.,Ti92.68 Mo3.6 Cr2.84 Fe0.88
227,228,Ti-34Nb-8Zr-1Fe,Ti71.93Nb22.10Zr5.00Fe0.97,87,10.3390/ma14133467,nocivin2021,1,1,0,1600.00,87.00,49.00,2.00,552.00,11.00,760.00,13.00,21.00,,,,12.19,meta,Ti-beta,,,ST-WQ,Data from the homogenized sample - ST at 950 deg C for 20 min then WQ. Hardness not reported. Grain size roughly estimated from Fig. 4,Ti71.93 Nb22.1 Zr5 Fe0.97
228,229,Ti-12Mo,Ti93.61Mo6.37Fe0.02,88,10.1080/21663831.2017.1350211,sun2017,1,1,0,600.00,39.00,84.00,3.00,480.00,,974.00,,40.00,,,,12.06,meta,Ti-beta,Ti-omega,,ST-WQ,Elastic modulus from the tensile tests (rectangular samples 4 x 0.5 mm). UTS estimated from Fig. 3. Average grain size roughly estimated from Fig. 4. Hardness not reported. ,Ti93.61 Mo6.37 Fe0.02
229,230,Ti-37Ta-26Hf-13Zr,Ti50.44Ta20.57Hf14.65Zr14.34,89,10.1038/srep37901,lin2016,0,0,0,,355.00,79.00,3.00,1001.00,108.00,1001.00,108.00,1.60,,381.00,8.00,8.14,near,Ti-beta,Ti-omega,,As-cast,Phases inferred from the analysis of  alloy id-232. Deformation from Figure S3.,Ti50.44 Ta20.57 Hf14.65 Zr14.34
230,231,Ti-40Ta-22Hf-12Zr,Ti53.76Ta21.63Hf12.06Zr12.55,89,10.1038/srep37901,lin2016,0,0,0,,335.00,72.00,2.00,1132.00,29.00,1160.00,28.00,2.80,,375.00,6.00,8.80,near,Ti-beta,Ti-omega,,As-cast,Phases inferred from the analysis of  alloy id-232. Deformation from Figure S3.,Ti53.76 Ta21.63 Hf12.06 Zr12.55
231,232,Ti-45Ta-18Hf-10Zr,Ti54.64Ta24.45Hf10.14Zr10.78,89,10.1038/srep37901,lin2016,0,1,0,,341.00,77.00,3.00,1114.00,61.00,1173.00,45.00,2.40,,360.00,6.00,9.90,near,Ti-beta,Ti-omega,,As-cast,Deformation from Figure S3.,Ti54.64 Ta24.45 Hf10.14 Zr10.78
232,233,Ti-10V-2Fe-3Al,Ti84.07V9.08Al5.25Fe1.61,90,10.1179/174328408X385773,neelakantan2009,1,0,1,1100.00,300.00,,,1050.00,,1300.00,,-33.00,,,,9.09,near,Ti-beta,Ti-alpha-p,Ti-alpha-dp,ST-AC,ST at 900 deg C for 60 min then He gas quenched at 10 deg C/min (Sample A). YS = second yield from Fig. 4. Sample evaluated in compression,Ti84.07 V9.08 Al5.25 Fe1.61
233,234,Ti-9Mo-6W,Ti93.35Mo4.93W1.72,91,10.1038/s41598-018-25899-3,gao2018b,0,1,0,,3.50,,,692.00,,1115.00,,33.50,,,,11.64,meta,Ti-beta,Ti-omega,,ST-WQ,"Sample 820-5M (ST at 820 deg C for 5 min, WQ). Grain size assumed to be an average between 1-6 um. Tensile samples with a gauge dimension of 3 mm x 12.5 mm x 1.5 mm",Ti93.35 Mo4.93 W1.72
234,235,Ti-12Mo,Ti93.63Mo6.37,92,10.1038/s41598-018-37865-0,mantri2019,0,1,0,,,,,400.00,,550.00,,35.00,,,,12.00,meta,Ti-beta,Ti-omega,,ST-WQ,"ST at 900 deg C for 30 min then WQ. Grain size not reported.Dog-bone shaped tensile specimens of gage length ~5 mm, width ~1 mm and thickness ~0.8 mm were used for the mechanical testing,",Ti93.63 Mo6.37
235,236,Ti-5Cu,Ti96.19Cu3.81,93,10.1016/j.matdes.2013.10.050,hayama2014,0,1,0,,,115.00,,791.00,32.00,890.00,13.00,1.40,0.20,318.00,21.00,0.00,rich,Ti-alpha,Ti2Cu,,As-cast,Copper mold rotating arm. Vickers hardness from Fig. 10. Elastic modulus (ultrasonic method) from Fig. 13. ,Ti96.19 Cu3.81
236,237,Ti-5Cu,Ti96.19Cu3.81,93,10.1016/j.matdes.2013.10.051,hayama2014,0,1,0,,,120.00,,592.00,8.00,648.00,45.00,3.80,2.60,239.00,21.00,0.00,rich,Ti-alpha,Ti2Cu,,ST-FC,ST at 900 deg C for 2 h then FC. Vickers hardness from Fig. 10. Elastic modulus (ultrasonic method) from Fig. 13. ,Ti96.19 Cu3.81
237,238,Ti-7Cu,Ti94.56Cu5.44,93,10.1016/j.matdes.2013.10.052,hayama2014,0,1,0,,,118.00,,863.00,57.00,895.00,68.00,0.10,0.10,333.00,12.00,0.00,rich,Ti-alpha,Ti2Cu,,As-cast,Copper mold rotating arm. Vickers hardness from Fig. 10. Elastic modulus (ultrasonic method) from Fig. 13. ,Ti94.56 Cu5.44
238,239,Ti-7Cu,Ti94.56Cu5.44,93,10.1016/j.matdes.2013.10.053,hayama2014,0,1,0,,,112.00,,522.00,46.00,660.00,52.00,3.50,0.80,224.00,16.00,0.00,rich,Ti-alpha,Ti2Cu,,ST-FC,ST at 900 deg C for 2 h then FC. Vickers hardness from Fig. 10. Elastic modulus (ultrasonic method) from Fig. 13. ,Ti94.56 Cu5.44
239,240,Ti-15Cu,Ti88.27Cu11.73,93,10.1016/j.matdes.2013.10.054,hayama2014,0,1,0,,,120.00,,666.00,97.00,666.00,97.00,0.00,0.00,382.00,29.00,0.00,rich,Ti-alpha,Ti2Cu,,As-cast,Copper mold rotating arm. Vickers hardness from Fig. 10. Elastic modulus (ultrasonic method) from Fig. 13. ,Ti88.27 Cu11.73
240,241,Ti-15Cu,Ti88.27Cu11.73,93,10.1016/j.matdes.2013.10.055,hayama2014,0,1,0,,,121.00,,541.00,57.00,676.00,39.00,2.90,0.40,224.00,9.00,0.00,rich,Ti-alpha,Ti2Cu,,ST-FC,ST at 900 deg C for 2 h then FC. Vickers hardness from Fig. 10. Elastic modulus (ultrasonic method) from Fig. 13. ,Ti88.27 Cu11.73
241,242,Ti-15Mo,Ti91.70Mo8.30,94,10.1016/j.msea.2009.12.050,min2010,1,1,0,1050.00,130.00,,,439.00,,714.00,,49.00,,,,15.36,meta,Ti-beta,Ti-omega,,ST-WQ,St at 900 deg C for 1 g then WQ. Oxygen content from Table 1. ,Ti91.7 Mo8.3
242,243,Ti-15Mo-1Fe,Ti91.63Mo8.30Fe1.07,94,10.1016/j.msea.2009.12.050,min2010,1,1,0,920.00,130.00,,,837.00,,837.00,,19.00,,,,18.50,meta,Ti-beta,Ti-omega,,ST-WQ,St at 900 deg C for 1 g then WQ. Oxygen content from Table 1. ,Ti91.63 Mo8.3 Fe1.07
243,244,Ti-6Cr-5Mo-5V-4Al,Ti80.79Cr5.25Mo2.35V4.52Al6.98Fe0.07Si0.005,95,10.1016/j.jallcom.2012.09.140,li2013,1,0,0,890.00,50.00,,,873.00,,875.00,,22.00,,,,13.36,meta,Ti-beta,,,ST-AC,ST at 800 deg C for 30 min and AC.,Ti80.79 Cr5.25 Mo2.35 V4.52 Al6.98 Fe0.07 Si0.005
244,245,Ti-30Nb-13Ta-5Zr,Ti70.45Nb21.42Ta4.69Zr3.44,96,10.1016/j.jmbbm.2012.01.011,narita2012,1,1,0,780.00,15.00,61.00,2.00,521.00,3.00,554.00,3.00,27.00,2.00,175.00,2.00,11.40,meta,Ti-beta,,,ST-WQ,"As-ST sample, ST at 740 deg C for 1 h then WQ. Grain size reported in section 3.1. Hardness from Fig. 7. Young modulus from Fig. 8. Other mechanical properties from Fig. 9. ",Ti70.45 Nb21.42 Ta4.69 Zr3.44
245,246,Ti-24Nb-2Zr-1Sn,Ti83.84Nb14.04Zr1.51Sn0.61,97,10.1016/j.jmbbm.2013.07.007,kent2013,0,0,0,,275.00,75.00,4.00,499.00,5.00,646.00,5.00,2.00,,,,6.61,near,Ti-alpha-dp,Ti-beta,,ST-WQ,Alloy A. Mechanical properties estimated based on Fig. 5. Strength errors assumed to be near 5 MPa. Elongation from the hot rolled specimens.,Ti83.84 Nb14.04 Zr1.51 Sn0.61
246,247,Ti-24Nb-3Zr-2Sn-3Mo,Ti80.64Nb14.93Zr1.74Sn0.91Mo1.78,97,10.1016/j.jmbbm.2013.07.007,kent2013,0,0,0,,175.00,72.00,3.00,534.00,5.00,673.00,5.00,5.00,,,,9.84,near,Ti-beta,,,ST-WQ,Alloy B. Mechanical properties estimated based on Fig. 5. Strength errors assumed to be near 5 MPa. Elongation from the hot rolled specimens.,Ti80.64 Nb14.93 Zr1.74 Sn0.91 Mo1.78
